ke	ensembl
https://identifiers.org/aop.events/1003	ENSG00000090534
https://identifiers.org/aop.events/1003	ENSG00000115705
https://identifiers.org/aop.events/1003	ENSG00000118271
https://identifiers.org/aop.events/1003	ENSG00000147571
https://identifiers.org/aop.events/1009	ENSG00000005022
https://identifiers.org/aop.events/1009	ENSG00000180176
https://identifiers.org/aop.events/110	ENSG00000112715
https://identifiers.org/aop.events/110	ENSG00000113552
https://identifiers.org/aop.events/110	ENSG00000105220
https://identifiers.org/aop.events/116	ENSG00000072310
https://identifiers.org/aop.events/1172	ENSG00000047936
https://identifiers.org/aop.events/119	ENSG00000153234
https://identifiers.org/aop.events/1202	ENSG00000164458
https://identifiers.org/aop.events/1214	ENSG00000143257
https://identifiers.org/aop.events/1214	ENSG00000197912
https://identifiers.org/aop.events/1253	ENSG00000166794
https://identifiers.org/aop.events/1477	ENSG00000047936
https://identifiers.org/aop.events/1494	ENSG00000000005
https://identifiers.org/aop.events/1498	ENSG00000047936
https://identifiers.org/aop.events/1498	ENSG00000164458
https://identifiers.org/aop.events/1498	ENSG00000133661
https://identifiers.org/aop.events/1499	ENSG00000038945
https://identifiers.org/aop.events/1499	ENSG00000074842
https://identifiers.org/aop.events/1499	ENSG00000164458
https://identifiers.org/aop.events/1500	ENSG00000081237
https://identifiers.org/aop.events/1500	ENSG00000146477
https://identifiers.org/aop.events/1500	ENSG00000197471
https://identifiers.org/aop.events/1502	ENSG00000167815
https://identifiers.org/aop.events/1503	ENSG00000171136
https://identifiers.org/aop.events/1506	ENSG00000167207
https://identifiers.org/aop.events/1508	ENSG00000104044
https://identifiers.org/aop.events/1510	ENSG00000047936
https://identifiers.org/aop.events/1513	ENSG00000141510
https://identifiers.org/aop.events/1522	ENSG00000166794
https://identifiers.org/aop.events/1522	ENSG00000132549
https://identifiers.org/aop.events/1528	ENSG00000186951
https://identifiers.org/aop.events/1542	ENSG00000142784
https://identifiers.org/aop.events/1543	ENSG00000110719
https://identifiers.org/aop.events/1543	ENSG00000142784
https://identifiers.org/aop.events/1544	ENSG00000142784
https://identifiers.org/aop.events/1549	ENSG00000154553
https://identifiers.org/aop.events/1549	ENSG00000124107
https://identifiers.org/aop.events/155	ENSG00000253729
https://identifiers.org/aop.events/1557	ENSG00000167815
https://identifiers.org/aop.events/1575	ENSG00000102871
https://identifiers.org/aop.events/1599	ENSG00000163636
https://identifiers.org/aop.events/1599	ENSG00000124614
https://identifiers.org/aop.events/1650	ENSG00000146477
https://identifiers.org/aop.events/1651	ENSG00000146477
https://identifiers.org/aop.events/1651	ENSG00000185739
https://identifiers.org/aop.events/1656	ENSG00000166794
https://identifiers.org/aop.events/1656	ENSG00000251655
https://identifiers.org/aop.events/1656	ENSG00000005022
https://identifiers.org/aop.events/1656	ENSG00000270141
https://identifiers.org/aop.events/1656	ENSG00000180176
https://identifiers.org/aop.events/1656	ENSG00000144339
https://identifiers.org/aop.events/1656	ENSG00000184470
https://identifiers.org/aop.events/167	ENSG00000131408
https://identifiers.org/aop.events/167	ENSG00000025434
https://identifiers.org/aop.events/167	ENSG00000144852
https://identifiers.org/aop.events/167	ENSG00000186951
https://identifiers.org/aop.events/167	ENSG00000035928
https://identifiers.org/aop.events/167	ENSG00000049541
https://identifiers.org/aop.events/167	ENSG00000163918
https://identifiers.org/aop.events/167	ENSG00000072310
https://identifiers.org/aop.events/1702	ENSG00000109320
https://identifiers.org/aop.events/1706	ENSG00000196664
https://identifiers.org/aop.events/1706	ENSG00000101916
https://identifiers.org/aop.events/1707	ENSG00000007171
https://identifiers.org/aop.events/1707	ENSG00000232810
https://identifiers.org/aop.events/1708	ENSG00000160113
https://identifiers.org/aop.events/1708	ENSG00000168421
https://identifiers.org/aop.events/1708	ENSG00000200320
https://identifiers.org/aop.events/1708	ENSG00000164458
https://identifiers.org/aop.events/1709	ENSG00000163221
https://identifiers.org/aop.events/1710	ENSG00000166794
https://identifiers.org/aop.events/1711	ENSG00000130348
https://identifiers.org/aop.events/1713	ENSG00000166794
https://identifiers.org/aop.events/1714	ENSG00000164458
https://identifiers.org/aop.events/1715	ENSG00000166794
https://identifiers.org/aop.events/1715	ENSG00000057252
https://identifiers.org/aop.events/1715	ENSG00000164458
https://identifiers.org/aop.events/1715	ENSG00000105397
https://identifiers.org/aop.events/1716	ENSG00000166794
https://identifiers.org/aop.events/1716	ENSG00000164458
https://identifiers.org/aop.events/1717	ENSG00000166794
https://identifiers.org/aop.events/1717	ENSG00000164458
https://identifiers.org/aop.events/1718	ENSG00000126561
https://identifiers.org/aop.events/1718	ENSG00000173757
https://identifiers.org/aop.events/1718	ENSG00000164458
https://identifiers.org/aop.events/1719	ENSG00000166794
https://identifiers.org/aop.events/1719	ENSG00000164458
https://identifiers.org/aop.events/1720	ENSG00000113269
https://identifiers.org/aop.events/1721	ENSG00000142507
https://identifiers.org/aop.events/1721	ENSG00000164266
https://identifiers.org/aop.events/1723	ENSG00000166794
https://identifiers.org/aop.events/1723	ENSG00000168028
https://identifiers.org/aop.events/1724	ENSG00000166794
https://identifiers.org/aop.events/1724	ENSG00000168028
https://identifiers.org/aop.events/1759	ENSG00000124659
https://identifiers.org/aop.events/1822	ENSG00000007171
https://identifiers.org/aop.events/1822	ENSG00000232810
https://identifiers.org/aop.events/1841	ENSG00000104044
https://identifiers.org/aop.events/1841	ENSG00000151093
https://identifiers.org/aop.events/1841	ENSG00000031698
https://identifiers.org/aop.events/1841	ENSG00000104835
https://identifiers.org/aop.events/1841	ENSG00000164458
https://identifiers.org/aop.events/1848	ENSG00000136869
https://identifiers.org/aop.events/1848	ENSG00000196664
https://identifiers.org/aop.events/1848	ENSG00000239732
https://identifiers.org/aop.events/186	ENSG00000180176
https://identifiers.org/aop.events/201	ENSG00000188566
https://identifiers.org/aop.events/258	ENSG00000099194
https://identifiers.org/aop.events/258	ENSG00000042832
https://identifiers.org/aop.events/264	ENSG00000072310
https://identifiers.org/aop.events/264	ENSG00000110080
https://identifiers.org/aop.events/272	ENSG00000164458
https://identifiers.org/aop.events/277	ENSG00000105641
https://identifiers.org/aop.events/277	ENSG00000180176
https://identifiers.org/aop.events/277	ENSG00000090534
https://identifiers.org/aop.events/277	ENSG00000115705
https://identifiers.org/aop.events/277	ENSG00000147571
https://identifiers.org/aop.events/279	ENSG00000092098
https://identifiers.org/aop.events/279	ENSG00000180176
https://identifiers.org/aop.events/279	ENSG00000090534
https://identifiers.org/aop.events/279	ENSG00000115705
https://identifiers.org/aop.events/28	ENSG00000122194
https://identifiers.org/aop.events/280	ENSG00000005022
https://identifiers.org/aop.events/280	ENSG00000180176
https://identifiers.org/aop.events/281	ENSG00000175206
https://identifiers.org/aop.events/281	ENSG00000123561
https://identifiers.org/aop.events/281	ENSG00000005022
https://identifiers.org/aop.events/281	ENSG00000180176
https://identifiers.org/aop.events/281	ENSG00000118271
https://identifiers.org/aop.events/281	ENSG00000147571
https://identifiers.org/aop.events/298	ENSG00000196670
https://identifiers.org/aop.events/369	ENSG00000111679
https://identifiers.org/aop.events/385	ENSG00000175206
https://identifiers.org/aop.events/389	ENSG00000104044
https://identifiers.org/aop.events/389	ENSG00000166794
https://identifiers.org/aop.events/424	ENSG00000105641
https://identifiers.org/aop.events/425	ENSG00000005022
https://identifiers.org/aop.events/425	ENSG00000105641
https://identifiers.org/aop.events/425	ENSG00000180176
https://identifiers.org/aop.events/584	ENSG00000013275
https://identifiers.org/aop.events/584	ENSG00000083845
https://identifiers.org/aop.events/584	ENSG00000137154
https://identifiers.org/aop.events/619	ENSG00000108576
https://identifiers.org/aop.events/663	ENSG00000167371
https://identifiers.org/aop.events/669	ENSG00000137710
https://identifiers.org/aop.events/715	ENSG00000144852
https://identifiers.org/aop.events/715	ENSG00000143257
https://identifiers.org/aop.events/715	ENSG00000197912
https://identifiers.org/aop.events/715	ENSG00000111424
https://identifiers.org/aop.events/716	ENSG00000143257
https://identifiers.org/aop.events/716	ENSG00000197912
https://identifiers.org/aop.events/851	ENSG00000101438
https://identifiers.org/aop.events/858	ENSG00000147872
https://identifiers.org/aop.events/877	ENSG00000171759
https://identifiers.org/aop.events/877	ENSG00000197901
https://identifiers.org/aop.events/877	ENSG00000149452
https://identifiers.org/aop.events/887	ENSG00000165264
https://identifiers.org/aop.events/888	ENSG00000165264
https://identifiers.org/aop.events/888	ENSG00000166794
https://identifiers.org/aop.events/89	ENSG00000072310
https://identifiers.org/aop.events/89	ENSG00000042832
https://identifiers.org/aop.events/927	ENSG00000164867
https://identifiers.org/aop.events/935	ENSG00000164867
https://identifiers.org/aop.events/948	ENSG00000112715
https://identifiers.org/aop.events/957	ENSG00000123561
https://identifiers.org/aop.events/957	ENSG00000005022
https://identifiers.org/aop.events/957	ENSG00000118271
https://identifiers.org/aop.events/958	ENSG00000167207
https://identifiers.org/aop.events/958	ENSG00000173599
https://identifiers.org/aop.events/958	ENSG00000160013
https://identifiers.org/aop.events/958	ENSG00000123561
https://identifiers.org/aop.events/958	ENSG00000005022
https://identifiers.org/aop.events/958	ENSG00000102100
https://identifiers.org/aop.events/958	ENSG00000185739
https://identifiers.org/aop.events/958	ENSG00000180176
https://identifiers.org/aop.events/958	ENSG00000118271
https://identifiers.org/aop.events/959	ENSG00000137509
https://identifiers.org/aop.events/959	ENSG00000123561
https://identifiers.org/aop.events/959	ENSG00000005022
https://identifiers.org/aop.events/959	ENSG00000180176
https://identifiers.org/aop.events/960	ENSG00000175206
https://identifiers.org/aop.events/960	ENSG00000122133
https://identifiers.org/aop.events/960	ENSG00000173599
https://identifiers.org/aop.events/960	ENSG00000137509
https://identifiers.org/aop.events/960	ENSG00000123561
https://identifiers.org/aop.events/960	ENSG00000155380
https://identifiers.org/aop.events/960	ENSG00000112394
