"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000300105","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000300105","0.159",,"0.72","0.487",,,,"0.975","0.818"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000481554","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000481554","0.123","0.051","0.72","0.55",,,,"0.997","0.982"
,"pp",,"9606.ENSP00000282499 (pp) 9606.ENSP00000428994","false","pp","9606.ENSP00000282499 (pp) 9606.ENSP00000428994","0.19","0.053","0.8","0.292",,,,"0.997","0.983"
,"pp",,"9606.ENSP00000384053 (pp) 9606.ENSP00000394227","false","pp","9606.ENSP00000384053 (pp) 9606.ENSP00000394227","0.112",,"0.9","0.901",,,,"0.999","0.996"
,"pp",,"9606.ENSP00000384053 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000384053 (pp) 9606.ENSP00000407586","0.059",,"0.9",,,,,"0.901","0.042"
"0","pp",,"9606.ENSP00000319814 (pp) 9606.ENSP00000339933","false","pp","9606.ENSP00000319814 (pp) 9606.ENSP00000339933","0.112",,"0.9",,,,,"0.968","0.676"
,"pp",,"9606.ENSP00000319814 (pp) 9606.ENSP00000495530","false","pp","9606.ENSP00000319814 (pp) 9606.ENSP00000495530",,,"0.936",,,,,"0.962","0.439"
,"pp",,"9606.ENSP00000319814 (pp) 9606.ENSP00000437402","false","pp","9606.ENSP00000319814 (pp) 9606.ENSP00000437402",,,"0.936",,,,,"0.956","0.341"
"0","pp",,"9606.ENSP00000205402 (pp) 9606.ENSP00000318868","false","pp","9606.ENSP00000205402 (pp) 9606.ENSP00000318868","0.094",,"0.936",,,,"0.086","0.966","0.44"
,"pp",,"9606.ENSP00000205402 (pp) 9606.ENSP00000381736","false","pp","9606.ENSP00000205402 (pp) 9606.ENSP00000381736","0.845",,,"0.085",,,"0.056","0.917","0.459"
,"pp",,"9606.ENSP00000205402 (pp) 9606.ENSP00000392709","false","pp","9606.ENSP00000205402 (pp) 9606.ENSP00000392709","0.922",,,"0.096",,,"0.101","0.946","0.261"
,"pp",,"9606.ENSP00000205402 (pp) 9606.ENSP00000335304","false","pp","9606.ENSP00000205402 (pp) 9606.ENSP00000335304","0.87","0.294","0.98","0.907","0.038",,"0.061","0.999","0.98"
,"pp",,"9606.ENSP00000205402 (pp) 9606.ENSP00000388183","false","pp","9606.ENSP00000205402 (pp) 9606.ENSP00000388183","0.31",,"0.978","0.881",,,"0.07","0.999","0.995"
"0","pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000340874","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000340874","0.067",,,"0.866",,,,"0.984","0.888"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000437955","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000437955","0.05",,,"0.788",,,,"0.955","0.797"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000302967","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000302967","0.049","0.175",,"0.877",,,,"0.924","0.309"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000384371","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000384371","0.111",,,"0.536",,,,"0.966","0.925"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000378402","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000378402","0.072",,,"0.736",,,,"0.952","0.822"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000306330","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000306330","0.067",,,"0.982",,,,"0.989","0.422"
,"pp",,"9606.ENSP00000264606 (pp) 9606.ENSP00000268712","false","pp","9606.ENSP00000264606 (pp) 9606.ENSP00000268712","0.049",,"0.5","0.828",,,,"0.999","0.993"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000497174","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000497174","0.046",,"0.72","0.852",,,,"0.978","0.524"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000474032","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000474032","0.042",,"0.72","0.907",,,,"0.99","0.662"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000367841","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000367841","0.069",,"0.72","0.545",,,,"0.965","0.743"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000376297","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000376297","0.218",,"0.72","0.94",,,,"0.997","0.82"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000477310","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000477310","0.076",,"0.54","0.559",,,,"0.954","0.785"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000384290","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000384290",,,"0.72","0.979",,,,"0.997","0.646"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000356056","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000356056","0.209",,"0.72","0.816",,,,"0.988","0.741"
,"pp",,"9606.ENSP00000349679 (pp) 9606.ENSP00000361800","false","pp","9606.ENSP00000349679 (pp) 9606.ENSP00000361800",,,"0.72","0.967",,,,"0.996","0.653"
"0","pp",,"9606.ENSP00000053867 (pp) 9606.ENSP00000240185","false","pp","9606.ENSP00000053867 (pp) 9606.ENSP00000240185","0.044",,,,,,,"0.958","0.959"
,"pp",,"9606.ENSP00000380958 (pp) 9606.ENSP00000481006","false","pp","9606.ENSP00000380958 (pp) 9606.ENSP00000481006","0.406",,,"0.513",,,,"0.988","0.962"
"0","pp",,"9606.ENSP00000282486 (pp) 9606.ENSP00000355094","false","pp","9606.ENSP00000282486 (pp) 9606.ENSP00000355094","0.118",,,"0.238",,,,"0.924","0.896"
,"pp",,"9606.ENSP00000282486 (pp) 9606.ENSP00000349168","false","pp","9606.ENSP00000282486 (pp) 9606.ENSP00000349168","0.53",,,"0.51",,,,"0.936","0.745"
,"pp",,"9606.ENSP00000327890 (pp) 9606.ENSP00000384053","false","pp","9606.ENSP00000327890 (pp) 9606.ENSP00000384053","0.124",,"0.9","0.901",,,,"0.999","0.942"
,"pp",,"9606.ENSP00000327890 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000327890 (pp) 9606.ENSP00000358548",,,"0.9",,,,,"0.924","0.278"
,"pp",,"9606.ENSP00000327890 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000327890 (pp) 9606.ENSP00000407586",,,"0.9",,,,,"0.904","0.088"
"0","pp",,"9606.ENSP00000346151 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000346151 (pp) 9606.ENSP00000495360",,,"0.9","0.359",,,,"0.986","0.809"
,"pp",,"9606.ENSP00000346151 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000346151 (pp) 9606.ENSP00000361021",,,"0.9","0.524",,,,"0.998","0.974"
,"pp",,"9606.ENSP00000346151 (pp) 9606.ENSP00000385450","false","pp","9606.ENSP00000346151 (pp) 9606.ENSP00000385450","0.073",,"0.9","0.168",,,,"0.922","0.109"
"0","pp",,"9606.ENSP00000216554 (pp) 9606.ENSP00000272317","false","pp","9606.ENSP00000216554 (pp) 9606.ENSP00000272317","0.128",,"0.5","0.849",,,,"0.928","0.046"
,"pp",,"9606.ENSP00000216554 (pp) 9606.ENSP00000256383","false","pp","9606.ENSP00000216554 (pp) 9606.ENSP00000256383","0.399",,"0.5","0.977",,,,"0.998","0.86"
,"pp",,"9606.ENSP00000216554 (pp) 9606.ENSP00000265753","false","pp","9606.ENSP00000216554 (pp) 9606.ENSP00000265753","0.263",,"0.5","0.186",,,,"0.902","0.714"
