PathwayID	source	target
WP5408	ENSG00000132155	ENSG00000138798
WP4906	CHEBI:295975	CHEBI:58779
WP5407	ENSG00000104067	ENSG00000165887
WP2781	ENSG00000178568	R-HSA-9612668
WP5346	ENSG00000104643	ENSG00000139505
WP4906	ENSG00000072274	ENSG00000091513
WP3584	11318905	ENSG00000140443
WP5398	ENSG00000179915	ENSG00000169760
WP4906	ENSG00000126561	ENSG00000126561
WP4932	ENSG00000126581	ENSG00000177169
WP5408	ENSG00000103942	ENSG00000196218
WP2781	R-HSA-1843077	R-HSA-1251960
WP5412	ENSG00000139687	ENSG00000139687
WP5407	ENSG00000104067	ENSG00000198752
WP4083	R-HSA-8854471	R-HSA-8855235
WP5402	CHEBI:29103	ENSG00000151224
WP4932	ENSG00000263001	ENSG00000185532
WP4657	ENSG00000184058	ENSG00000164093
WP3584	CHEBI:29987	ENSG00000128683
WP4657	ENSG00000082898	Q994741
WP5346	ENSG00000173273	ENSG00000181856
WP3584	ENSG00000169057	ENSG00000176165
WP3584	ENSG00000169057	ENSG00000155511
WP4906, WP5408	CHEBI:29999	CHEBI:83421
WP4932	ENSG00000165215	ENSG00000184113
WP4932	ENSG00000184113	WP1793
WP5408	CHEBI:16704	CHEBI:16704
WP4932	CHEBI:46858	CHEBI:82620
WP4932	CHEBI:15414	CHEBI:16680
WP4906	ENSG00000119227	WP1887
WP4932	ENSG00000106635	ENSG00000168036
WP4083	Q96B97	R-HSA-8855258
WP4657	CHEBI:41941	CHEBI:545959
WP2781	ENSG00000105963	O75689
WP5402	ENSG00000182771	CHEBI:29985
WP5346	ENSG00000103126	WP428
WP4942	ENSG00000175344	ENSG00000010810
WP5346	ENSG00000166224	WP4725
WP5412	ENSG00000023287	ENSG00000197442
WP4083	R-HSA-8855258	R-HSA-8855226
WP5407	CHEBI:27363	CHEBI:27363
WP2781	R-HSA-1973959	R-HSA-1977297
WP5407	ENSG00000166405	ENSG00000175344
WP5405	CHEBI:13115	CHEBI:57655
WP5402	ENSG00000107779	ENSG00000125845
WP4657	CHEBI:57880	CHEBI:58178
WP4932	CHEBI:17234	ENSG00000009950
WP4906	ENSG00000173757	ENSG00000173757
WP4657	ENSG00000099901	ENSG00000082898
WP5402	ENSG00000170788	ENSG00000140600
WP5408	ENSG00000103942	ENSG00000152822
WP4906	ENSG00000163961	ENSG00000177889
WP4657	ENSG00000184113	ENSG00000163347
WP4932	ENSG00000086730	ENSG00000086730
WP4906	ENSG00000089159	ENSG00000089159
WP2781	ENSG00000178568	R-HSA-1233235
WP4942	ENSG00000285077	PF00153
WP4942	ENSG00000175344	CHEBI:15355
