Ensembl	KEid	AOPid
ENSG00000123384	https://identifiers.org/aop.events/1492	https://identifiers.org/aop/17; https://identifiers.org/aop/483
ENSG00000123561	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/961	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458
ENSG00000124102	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/17
ENSG00000124107	https://identifiers.org/aop.events/889	https://identifiers.org/aop/3
ENSG00000124140	https://identifiers.org/aop.events/851	https://identifiers.org/aop/54
ENSG00000124151	https://identifiers.org/aop.events/18	https://identifiers.org/aop/458; https://identifiers.org/aop/459
ENSG00000124733	https://identifiers.org/aop.events/1983	https://identifiers.org/aop/442
ENSG00000124762	https://identifiers.org/aop.events/1262	https://identifiers.org/aop/500
ENSG00000124882	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/52; https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/890	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/395; https://identifiers.org/aop/3; https://identifiers.org/aop/471
ENSG00000125650	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
ENSG00000126549	https://identifiers.org/aop.events/896	https://identifiers.org/aop/3; https://identifiers.org/aop/464; https://identifiers.org/aop/471
ENSG00000130234	https://identifiers.org/aop.events/1738; https://identifiers.org/aop.events/1739	https://identifiers.org/aop/395; https://identifiers.org/aop/374; https://identifiers.org/aop/395
ENSG00000130649	https://identifiers.org/aop.events/1391; https://identifiers.org/aop.events/1508	https://identifiers.org/aop/450; https://identifiers.org/aop/260
ENSG00000130770	https://identifiers.org/aop.events/958	https://identifiers.org/aop/152
ENSG00000131050	https://identifiers.org/aop.events/682	https://identifiers.org/aop/10
