"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","Name2","selected","shared name","WikiPathways"
,"ENSG00000232065","153",,,"LINC01063","LINC01063","false","LINC01063","1"
,"ENSG00000136937","154",,,"NCBP1","NCBP1","false","NCBP1","1"
,"ENSG00000187240","155",,,"DYNC2H1","DYNC2H1","false","DYNC2H1","1"
,"ENSG00000100644","151",,,"HIF1A","HIF1A","false","HIF1A","1"
,"ENSG00000265850","156",,,"hsa-mir-4797","MIR4797","false","hsa-mir-4797","1"
,"ENSG00000079974","114",,,"RABL2B","RABL2B","false","RABL2B","1"
,"ENSG00000119333","157",,,"WDR34","DYNC2I2","false","WDR34","1"
,"ENSG00000146425","158",,,"DYNLT1","DYNLT1","false","DYNLT1","1"
,"ENSG00000165169","159",,,"DYNLT3","DYNLT3","false","DYNLT3","1"
,"ENSG00000125971","160",,,"DYNLRB1","DYNLRB1","false","DYNLRB1","1"
,"ENSG00000168589","161",,,"DYNLRB2","DYNLRB2","false","DYNLRB2","1"
,"ENSG00000088986","162",,,"DYNLL1","DYNLL1","false","DYNLL1","1"
,"ENSG00000264364","163",,,"DYNLL2","DYNLL2","false","DYNLL2","1"
"1","ENSG00000151577","164",,,"1814","DRD3","false","1814",
"1","ENSG00000137203","165",,,"7020","TFAP2A","false","7020",
"1","ENSG00000113749","166",,,"3274","HRH2","false","3274",
"1","ENSG00000157219","167",,,"3361","HTR5A","false","3361",
"1","ENSG00000132437","168",,,"1644","DDC","false","1644",
"1","ENSG00000124391","169",,,"27189","IL17C","false","27189",
"1","ENSG00000115902","170",,,"6509","SLC1A4","false","6509",
"1","ENSG00000028137","171",,,"7133","TNFRSF1B","false","7133",
"1","ENSG00000149021","172",,,"7356","SCGB1A1","false","7356",
"1","ENSG00000179603","173",,,"2918","GRM8","false","2918",
"1","ENSG00000172020","174",,,"2596","GAP43","false","2596",
"1","ENSG00000138685","175",,,"2247","FGF2","false","2247",
"1","ENSG00000179097","176",,,"3355","HTR1F","false","3355",
"1","ENSG00000186297","177",,,"2558","GABRA5","false","2558",
"1","ENSG00000141404","178",,,"2774","GNAL","false","2774",
"1","ENSG00000141401","179",,,"3613","IMPA2","false","3613",
"1","ENSG00000242689","180",,,"1270","CNTF","false","1270",
"1","ENSG00000223865","181",,,"3115","HLA-DPB1","false","3115",
"1","ENSG00000077498","182",,,"7299","TYR","false","7299",
"1","ENSG00000101958","183",,,"2742","GLRA2","false","2742",
"1","ENSG00000179344","184",,,"3119","HLA-DQB1","false","3119",
"1","ENSG00000168081","185",,,"5368","PNOC","false","5368",
"1","ENSG00000145920","186",,,"10814","CPLX2","false","10814",
"1","ENSG00000102003","187",,,"6855","SYP","false","6855",
"1","ENSG00000124493","188",,,"2914","GRM4","false","2914",
"1","ENSG00000187094","189",,,"885","CCK","false","885",
"1","ENSG00000082556","190",,,"4986","OPRK1","false","4986",
"1","ENSG00000101327","191",,,"5173","PDYN","false","5173",
"1","ENSG00000171189","192",,,"2897","GRIK1","false","2897",
"1","ENSG00000140009","193",,,"2100","ESR2","false","2100",
"1","ENSG00000146070","194",,,"7941","PLA2G7","false","7941",
"1","ENSG00000005421","195",,,"5444","PON1","false","5444",
"1","ENSG00000250799","196",,,"58510","PRODH2","false","58510",
"1","ENSG00000183628","197",,,"8214","DGCR6","false","8214",
"1","ENSG00000089199","198",,,"1114","CHGB","false","1114",
"1","ENSG00000134121","199",,,"10752","CHL1","false","10752",
"1","ENSG00000163599","200",,,"1493","CTLA4","false","1493",
"1","ENSG00000266964","201",,,"5348","FXYD1","false","5348",
"1","ENSG00000103546","202",,,"6530","SLC6A2","false","6530",
"1","ENSG00000100427","203",,,"23209","MLC1","false","23209",
"1","ENSG00000157168","204",,,"3084","NRG1","false","3084",
"1","ENSG00000158748","205",,,"3362","HTR6","false","3362",
"1","ENSG00000148680","206",,,"3363","HTR7","false","3363",
"1","ENSG00000206503","207",,,"3105","HLA-A","false","3105",
"1","ENSG00000147852","208",,,"7436","VLDLR","false","7436",
"1","ENSG00000164270","209",,,"3360","HTR4","false","3360",
"1","ENSG00000187010","210",,,"6007","RHD","false","6007",
"1","ENSG00000115414","211",,,"2335","FN1","false","2335",
"1","ENSG00000156475","212",,,"5521","PPP2R2B","false","5521",
"1","ENSG00000074800","213",,,"2023","ENO1","false","2023",
"1","ENSG00000075213","214",,,"10371","SEMA3A","false","10371",
"1","ENSG00000226979","215",,,"4049","LTA","false","4049",
"1","ENSG00000084207","216",,,"2950","GSTP1","false","2950",
"1","ENSG00000113520","217",,,"3565","IL4","false","3565",
"1","ENSG00000075275","218",,,"9620","CELSR1","false","9620",
"1","ENSG00000002586","219",,,"4267","CD99","false","4267",
"1","ENSG00000124333","220",,,"6845","VAMP7","false","6845",
"1","ENSG00000177606","221",,,"3725","JUN","false","3725","1"
"1","ENSG00000143603","222",,,"3782","KCNN3","false","3782",
"1","ENSG00000116791","223",,,"1429","CRYZ","false","1429",
"1","ENSG00000181019","224",,,"1728","NQO1","false","1728",
"1","ENSG00000108557","225",,,"10743","RAI1","false","10743",
"1","ENSG00000221823","226",,,"5534","PPP3R1","false","5534",
"1","ENSG00000184634","227",,,"9968","MED12","false","9968",
"1","ENSG00000147571","228",,,"1392","CRH","false","1392",
"1","ENSG00000133112","229",,,"7178","TPT1","false","7178",
"1","ENSG00000128731","230",,,"8924","HERC2","false","8924",
"1","ENSG00000136099","231",,,"5100","PCDH8","false","5100",
"1","ENSG00000176697","232",,,"627","BDNF","false","627",
"1","ENSG00000144355","233",,,"1745","DLX1","false","1745",
"1","ENSG00000168779","234",,,"6474","SHOX2","false","6474",
"1","ENSG00000168539","235",,,"1128","CHRM1","false","1128",
"1","ENSG00000086205","236",,,"2346","FOLH1","false","2346",
"1","ENSG00000147955","237",,,"10280","SIGMAR1","false","10280",
"1","ENSG00000100294","238",,,"27349","MCAT","false","27349",
"1","ENSG00000189058","239",,,"347","APOD","false","347",
"1","ENSG00000124588","240",,,"4835","NQO2","false","4835",
"1","ENSG00000165092","241",,,"216","ALDH1A1","false","216",
"1","ENSG00000168993","242",,,"10815","CPLX1","false","10815",
"1","ENSG00000113580","243",,,"2908","NR3C1","false","2908",
"1","ENSG00000102468","244",,,"3356","HTR2A","false","3356",
"1","ENSG00000198400","245",,,"4914","NTRK1","false","4914",
"1","ENSG00000100362","246",,,"5816","PVALB","false","5816",
"1","ENSG00000109132","247",,,"8929","PHOX2B","false","8929",
"1","ENSG00000168477","248",,,"7148","TNXB","false","7148",
"1","ENSG00000100321","249",,,"9145","SYNGR1","false","9145",
"1","ENSG00000087258","250",,,"2775","GNAO1","false","2775",
"1","ENSG00000164128","251",,,"4886","NPY1R","false","4886",
"1","ENSG00000142208","252",,,"207","AKT1","false","207","1"
"1","ENSG00000082701","253",,,"2932","GSK3B","false","2932",
"1","ENSG00000108602","254",,,"218","ALDH3A1","false","218",
"1","ENSG00000155368","255",,,"1622","DBI","false","1622",
"1","ENSG00000130643","256",,,"50632","CALY","false","50632",
"1","ENSG00000168621","257",,,"2668","GDNF","false","2668",
"1","ENSG00000100077","258",,,"157","GRK3","false","157",
