PathwayID	source	target
WP4932	ENSG00000126581	ENSG00000126581
WP4905	ENSG00000104067	ENSG00000130396
WP4942	CHEBI:14321	ENSG00000113262
WP4932	ENSG00000106638	ENSG00000172071
WP5346	ENSG00000136869	IPR000837
WP5402	ENSG00000170788	ENSG00000140600
WP4932	ENSG00000263001	ENSG00000196591
WP5408	ENSG00000103942	ENSG00000251322
WP4932	ENSG00000076555	ENSG00000076555
WP5406	ENSG00000102683	ENSG00000128591
WP5398	ENSG00000179915	ENSG00000169992
WP5346	ENSG00000104643	ENSG00000102043
WP5408	ENSG00000135577	WP4424
WP4932	ENSG00000106635	WP428
WP4222	HMDB0003540	HMDB0000058
WP4932	ENSG00000144895	ENSG00000144895
WP4657	ENSG00000215012	ENSG00000171791
WP4906	CHEBI:37563	CHEBI:58779
WP4657	CHEBI:14321	CHEBI:30915
WP5412	ENSG00000197442	ENSG00000232810
WP4905	CHEBI:62837	HMDB0001429
WP4932	ENSG00000077800	ENSG00000111640
WP4657	ENSG00000099899	WP3561
WP5402	ENSG00000148671	ENSG00000245848
WP4905	ENSG00000104067	ENSG00000183853
WP4657	CHEBI:33568	CHEBI:89633
WP5412	ENSG00000023287	ENSG00000085978
WP4905	WP428	WP1591
WP4932	ENSG00000146755	ENSG00000161011
WP4222	ENSG00000072062	ENSG00000118260
WP5412	ENSG00000197442	ENSG00000127191
WP4657	ENSG00000185608	CPX-5226
WP5406	CHEBI:17552	ENSG00000067560
WP4932	ENSG00000278540	ENSG00000278540
WP4657	ENSG00000100084	ENSG00000135903
WP4657	ENSG00000184113	ENSG00000165215
WP5408	ENSG00000103942	ENSG00000168959
WP4932	CHEBI:28790	CHEBI:28790
WP4932	ENSG00000165215	ENSG00000163347
WP5408	ENSG00000169612	ENSG00000101654
WP4906	ENSG00000010704	ENSG00000105697
WP4905	ENSG00000104067	ENSG00000121743
WP4222	HMDB0000058	ENSG00000072062
WP3584	ENSG00000017427	ENSG00000169057
WP4906	ENSG00000091513	ENSG00000072274
WP4222	ENSG00000184845	ENSG00000070808
WP4906	ENSG00000136997	ENSG00000136997
WP4932	ENSG00000071462	ENSG00000155974
WP4932	PF03505	ENSG00000189143
WP3584	ENSG00000164985	ENSG00000155511
WP3584	ENSG00000169057	CHEBI:29987
WP5346	ENSG00000147324	ENSG00000144381
WP5402	ENSG00000122378	WP382
WP4657	ENSG00000070413	ENSG00000189056
WP4932	CHEBI:16865	CHEBI:16865
WP4657	ENSG00000125798	ENSG00000125798
WP4932	ENSG00000146755	ENSG00000146755
WP5408	ENSG00000103942	ENSG00000161681
WP5408	ENSG00000197696	ENSG00000135577
WP5407	ENSG00000104067	ENSG00000198752
WP4222	CHEBI:37565	HMDB0001314
WP4932	ENSG00000188763	ENSG00000105989
WP4906	ENSG00000163960	ENSG00000100644
