identifier	identifier.source	target	target.source
CHEMBL1394757	ChEMBL compound	53790	ChEBI
CHEMBL51149	ChEMBL compound	34772	ChEBI
CHEMBL191334	ChEMBL compound	95096	ChEBI
CHEMBL3289608	ChEMBL compound	86512	ChEBI
CHEMBL742	ChEMBL compound	6121	ChEBI
CHEMBL1547029	ChEMBL compound	121260	ChEBI
CHEMBL353581	ChEMBL compound	93953	ChEBI
CHEMBL525191	ChEMBL compound	83405	ChEBI
CHEMBL352205	ChEMBL compound	104133	ChEBI
CHEMBL1200545	ChEMBL compound	31483	ChEBI
CHEMBL27403	ChEMBL compound	64055	ChEBI
CHEMBL1200562	ChEMBL compound	50865	ChEBI
CHEMBL285063	ChEMBL compound	131504	ChEBI
CHEMBL1606959	ChEMBL compound	123280	ChEBI
CHEMBL186779	ChEMBL compound	6088	ChEBI
CHEMBL1255837	ChEMBL compound	31490	ChEBI
CHEMBL1576608	ChEMBL compound	111414	ChEBI
CHEMBL1774461	ChEMBL compound	66880	ChEBI
CHEMBL1200628	ChEMBL compound	9932	ChEBI
CHEMBL522892	ChEMBL compound	91395	ChEBI
CHEMBL641	ChEMBL compound	127342	ChEBI
CHEMBL26260	ChEMBL compound	77013	ChEBI
CHEMBL633	ChEMBL compound	2663	ChEBI
CHEMBL623	ChEMBL compound	7494	ChEBI
CHEMBL202721	ChEMBL compound	91376	ChEBI
CHEMBL611494	ChEMBL compound	39464	ChEBI
CHEMBL1200600	ChEMBL compound	31625	ChEBI
CHEMBL275742	ChEMBL compound	8736	ChEBI
CHEMBL1081312	ChEMBL compound	50915	ChEBI
CHEMBL668	ChEMBL compound	8597	ChEBI
CHEMBL1570500	ChEMBL compound	35012	ChEBI
CHEMBL389621	ChEMBL compound	17650	ChEBI
CHEMBL1524273	ChEMBL compound	9336	ChEBI
CHEMBL650	ChEMBL compound	6888	ChEBI
CHEMBL2133806	ChEMBL compound	91417	ChEBI
CHEMBL691	ChEMBL compound	4903	ChEBI
CHEMBL184450	ChEMBL compound	33217	ChEBI
CHEMBL72631	ChEMBL compound	93649	ChEBI
CHEMBL1159650	ChEMBL compound	31414	ChEBI
CHEMBL493682	ChEMBL compound	135359	ChEBI
CHEMBL514201	ChEMBL compound	90683	ChEBI
CHEMBL286077	ChEMBL compound	142993	ChEBI
CHEMBL334255	ChEMBL compound	77052	ChEBI
CHEMBL1321591	ChEMBL compound	108177	ChEBI
CHEMBL1520645	ChEMBL compound	122032	ChEBI
CHEMBL1600998	ChEMBL compound	82509	ChEBI
CHEMBL6966	ChEMBL compound	77733	ChEBI
CHEMBL1256760	ChEMBL compound	34461	ChEBI
CHEMBL384467	ChEMBL compound	41879	ChEBI
CHEMBL136737	ChEMBL compound	75270	ChEBI
CHEMBL521	ChEMBL compound	5855	ChEBI
CHEMBL28564	ChEMBL compound	91784	ChEBI
CHEMBL1524185	ChEMBL compound	31936	ChEBI
CHEMBL27246	ChEMBL compound	35697	ChEBI
CHEMBL276711	ChEMBL compound	91083	ChEBI
CHEMBL1381292	ChEMBL compound	113078	ChEBI
CHEMBL553	ChEMBL compound	114785	ChEBI
CHEMBL549	ChEMBL compound	77397	ChEBI
CHEMBL1200339	ChEMBL compound	8094	ChEBI
CHEMBL543	ChEMBL compound	113454	ChEBI
CHEMBL535	ChEMBL compound	38940	ChEBI
CHEMBL527	ChEMBL compound	8249	ChEBI
CHEMBL585	ChEMBL compound	9671	ChEBI
