PathwayID	source	target
WP4905	CHEBI:62837	HMDB0001429
WP4932	ENSG00000189143	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/e0ae1
WP3584	ENSG00000128683	CHEBI:16865
WP4932	ENSG00000126581	ENSG00000126581
WP5402	ENSG00000108219	ENSG00000137845
WP5398	ENSG00000179915	ENSG00000146938
WP5399	ENSG00000144061	http://rdf.wikipathways.org/Pathway/WP5399_r127059/WP/Interaction/idfa7404ed
WP3584	CHEBI:16865	ENSG00000111886
WP5402	ENSG00000148600	ENSG00000099994
WP4906	CHEBI:29033	ENSG00000091513
WP4942	ENSG00000169926	http://rdf.wikipathways.org/Pathway/WP4942_r115789/WP/Interaction/idbf4e4ed7
WP5402	CHEBI:15378	CHEBI:15378
WP4932	ENSG00000263001	ENSG00000196591
WP4932	ENSG00000263001	ENSG00000010671
WP4932	ENSG00000071462	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id7bf2ba64
WP2781	R-HSA-8954204	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/d7e22
WP4222	HMDB0000058	ENSG00000072062
WP4905	WP428	WP4239
WP4657	CHEBI:18243	ENSG00000149295
WP4657	ENSG00000184702	ENSG00000184702
WP4905	ENSG00000162836	http://rdf.wikipathways.org/Pathway/WP4905_r124898/WP/Interaction/af875
WP2781	CHEBI:18348	CHEBI:16618
WP5407	ENSG00000034053	ENSG00000136854
WP4906	ENSG00000078725	ENSG00000096717
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id68ccf593
WP3584	ENSG00000137154	ENSG00000137154
WP4932	ENSG00000263001	ENSG00000136997
WP4657	CHEBI:18243	CHEBI:1582
WP2781	CHEBI:15996	R-HSA-109783
WP5408	ENSG00000140600	ENSG00000159082
WP4932	CHEBI:18243	CHEBI:18243
WP4657	ENSG00000065154	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/b2914
WP2781	ENSG00000131095	R-HSA-8954171
WP2781	P46934	R-HSA-1973959
WP5346	ENSG00000136574	ENSG00000168487
WP4932	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/bc573	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/dc603
WP5346	ENSG00000168036	WP3558
WP2781	ENSG00000123933	R-HSA-9612446
WP5402	CHEBI:29108	CHEBI:29108
WP5346	ENSG00000072694	ENSG00000072694
WP2781	R-HSA-9612668	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/a75b2
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id83a8fe4c
WP4932	ENSG00000076555	ENSG00000076555
WP4906	ENSG00000163958	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id4b3d4258
WP2781	ENSG00000105963	R-HSA-9612270
WP4222	ENSG00000072062	HMDB0000073
WP4657	ENSG00000184702	ENSG00000164402
WP5346	ENSG00000136573	http://rdf.wikipathways.org/Pathway/WP5346_r127110/WP/Interaction/c11a3
WP4906	ENSG00000073598	ENSG00000124688
WP4657	ENSG00000184058	ENSG00000168505
WP4932	CHEBI:14321	CHEBI:14321
WP4657	ENSG00000185608	CPX-5226
WP4942, WP5407	ENSG00000169926	ENSG00000005339
WP4222	CHEBI:104872	ENSG00000113448
WP4657	ENSG00000125798	ENSG00000125798
WP4905	ENSG00000104067	ENSG00000130396
WP2781	R-HSA-1250359	CHEBI:456216
WP4906	ENSG00000174007	ENSG00000213066
WP4942	ENSG00000198690	CHEBI:16991
WP5346	ENSG00000163950	ENSG00000104626
WP5406	CHEBI:17552	ENSG00000067560
WP4657	ENSG00000100150	ENSG00000100150
WP2781	ENSG00000113140	R-HSA-9612287
WP4222	HMDB0005039	ENSG00000138735
WP4657	MIMAT0000455	ENSG00000161671
WP4905, WP5407	ENSG00000104067	ENSG00000197822
